"filename", "language", "HTML", "TypeScript", "CSS", "JSON", "XML", "JavaScript", "SCSS", "Less", "comment", "blank", "total"
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\core\http-interceptor\api-prefix-interceptor.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\core\http-interceptor\index.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 1, 1, 6
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\core\shared.service.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 13, 59
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\directives\directives.module.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\directives\lazy-for.directive.ts", "TypeScript", 0, 117, 0, 0, 0, 0, 0, 0, 25, 39, 181
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\directives\number.directive.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 8, 6, 35
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\doctor-calender\doctor-calendar-routing.module.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\doctor-calender\doctor-calendar.module.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 2, 31
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\doctor-calender\doctor-calender.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\doctor-calender\doctor-calender.component.html", "HTML", 60, 0, 0, 0, 0, 0, 0, 0, 2, 3, 65
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\doctor-calender\doctor-calender.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\doctor-calender\doctor-calender.component.ts", "TypeScript", 0, 127, 0, 0, 0, 0, 0, 0, 4, 9, 140
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\landing-page\landing-page-routing.module.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\landing-page\landing-page.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\landing-page\landing-page.component.html", "HTML", 33, 0, 0, 0, 0, 0, 0, 0, 14, 3, 50
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\landing-page\landing-page.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\landing-page\landing-page.component.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 0, 0, 1, 9, 54
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\landing-page\landing-page.module.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\login\login-routing.module.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\login\login.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\login\login.component.html", "HTML", 47, 0, 0, 0, 0, 0, 0, 0, 3, 10, 60
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\login\login.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\login\login.component.ts", "TypeScript", 0, 69, 0, 0, 0, 0, 0, 0, 4, 9, 82
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\login\login.module.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
